r,"C(r, t=50000.0)"
0.0,0.0
0.0031446540880503146,0.0
0.006289308176100629,0.0
0.009433962264150945,0.0
0.012578616352201259,0.0
0.015723270440251572,0.0
0.01886792452830189,0.0
0.022012578616352203,0.0
0.025157232704402517,0.0
0.02830188679245283,0.0
0.031446540880503145,0.0
0.03459119496855346,0.0
0.03773584905660378,0.0
0.04088050314465409,0.0
0.04402515723270441,0.0
0.04716981132075472,0.0
0.050314465408805034,0.0
0.05345911949685535,0.0
0.05660377358490566,0.0
0.059748427672955975,0.0
0.06289308176100629,0.0
0.0660377358490566,0.0
0.06918238993710692,0.0
0.07232704402515723,0.0
0.07547169811320756,0.0
0.07861635220125787,0.0
0.08176100628930819,0.0
0.0849056603773585,0.0
0.08805031446540881,0.0
0.09119496855345913,0.0
0.09433962264150944,0.0
0.09748427672955975,0.0
0.10062893081761007,0.0
0.10377358490566038,0.0
0.1069182389937107,0.0
0.11006289308176101,0.0
0.11320754716981132,0.0
0.11635220125786164,0.0
0.11949685534591195,0.0
0.12264150943396226,0.0
0.12578616352201258,0.0
0.1289308176100629,0.0
0.1320754716981132,0.0
0.13522012578616352,0.0
0.13836477987421383,0.0
0.14150943396226415,0.0
0.14465408805031446,0.0
0.14779874213836477,0.0
0.15094339622641512,0.0
0.15408805031446543,0.0
0.15723270440251574,0.0
0.16037735849056606,0.0
0.16352201257861637,0.0
0.16666666666666669,0.0
0.169811320754717,0.0
0.1729559748427673,0.0
0.17610062893081763,0.0
0.17924528301886794,0.0
0.18238993710691825,0.0
0.18553459119496857,0.0
0.18867924528301888,0.0
0.1918238993710692,0.0
0.1949685534591195,0.0
0.19811320754716982,0.0
0.20125786163522014,0.0
0.20440251572327045,0.0
0.20754716981132076,0.0
0.21069182389937108,0.0
0.2138364779874214,0.0
0.2169811320754717,0.0
0.22012578616352202,0.0
0.22327044025157233,0.0
0.22641509433962265,0.0
0.22955974842767296,0.0
0.23270440251572327,0.0
0.2358490566037736,0.0
0.2389937106918239,0.0
0.24213836477987422,0.0
0.24528301886792453,0.0
0.24842767295597484,0.0
0.25157232704402516,0.0
0.25471698113207547,0.0
0.2578616352201258,0.0
0.2610062893081761,0.0
0.2641509433962264,0.0
0.2672955974842767,0.0
0.27044025157232704,0.0
0.27358490566037735,0.0
0.27672955974842767,0.0
0.279874213836478,0.0
0.2830188679245283,0.0
0.2861635220125786,0.0
0.2893081761006289,0.0
0.29245283018867924,0.0
0.29559748427672955,0.0
0.29874213836477986,0.0
0.30188679245283023,0.0
0.30503144654088055,0.0
0.30817610062893086,0.0
0.3113207547169812,0.0
0.3144654088050315,0.0
0.3176100628930818,0.0
0.3207547169811321,0.0
0.32389937106918243,0.0
0.32704402515723274,0.0
0.33018867924528306,0.0
0.33333333333333337,0.0
0.3364779874213837,0.0
0.339622641509434,0.0
0.3427672955974843,0.0
0.3459119496855346,0.0
0.34905660377358494,0.0
0.35220125786163525,0.0
0.35534591194968557,0.0
0.3584905660377359,0.0
0.3616352201257862,0.0
0.3647798742138365,0.0
0.3679245283018868,0.0
0.37106918238993714,0.0
0.37421383647798745,0.0
0.37735849056603776,0.0
0.3805031446540881,0.0
0.3836477987421384,0.0
0.3867924528301887,0.0
0.389937106918239,0.0
0.39308176100628933,0.0
0.39622641509433965,0.0
0.39937106918238996,0.0
0.4025157232704403,0.0
0.4056603773584906,0.0
0.4088050314465409,0.0
0.4119496855345912,0.0
0.41509433962264153,0.0
0.41823899371069184,0.0
0.42138364779874216,0.0
0.42452830188679247,0.0
0.4276729559748428,0.0
0.4308176100628931,0.0
0.4339622641509434,0.0
0.4371069182389937,0.0
0.44025157232704404,0.0
0.44339622641509435,0.0
0.44654088050314467,0.0
0.449685534591195,0.0
0.4528301886792453,0.0
0.4559748427672956,0.0
0.4591194968553459,0.0
0.46226415094339623,0.0
0.46540880503144655,0.0
0.46855345911949686,0.0
0.4716981132075472,0.0
0.4748427672955975,0.0
0.4779874213836478,0.0
0.4811320754716981,0.0
0.48427672955974843,0.0
0.48742138364779874,0.0
0.49056603773584906,0.0
0.4937106918238994,0.0
0.4968553459119497,0.0
0.5,0.0
