r,"C(r, t=50000.0)","C(r, t=100000.0)","C(r, t=150000.0)","C(r, t=200000.0)","C(r, t=250000.0)","C(r, t=300000.0)","C(r, t=350000.0)","C(r, t=400000.0)","C(r, t=450000.0)","C(r, t=500000.0)","C(r, t=550000.0)","C(r, t=600000.0)","C(r, t=650000.0)","C(r, t=700000.0)","C(r, t=750000.0)","C(r, t=800000.0)","C(r, t=850000.0)","C(r, t=900000.0)","C(r, t=950000.0)","C(r, t=1000000.0)"
0.0,0.0,-1.371053727251393e-56,-4.901750277158048e-55,-8.993018567823682e-54,-1.128159197809768e-52,-1.0879946483552247e-51,-8.598937061553815e-51,-5.798381613696046e-50,-3.429353198665272e-49,-1.8150615873033442e-48,-8.729090886359318e-48,-3.860421908125011e-47,-1.5850999672402545e-46,-6.090460355852548e-46,-2.204248521171309e-45,-7.555992127519277e-45,-2.464888320659039e-44,-7.683365960544328e-44,-2.29667377971032e-43,-6.603844944549295e-43
0.01282051282051282,0.0,1.8989871321307378e-57,7.005359525632872e-56,1.3253245169024214e-54,1.7134232158461614e-53,1.7019694596631323e-52,1.384732968647479e-51,9.607298315568034e-51,5.843426221022526e-50,3.179107546251608e-49,1.57089939179229e-48,7.135023413922058e-48,3.0076173354393145e-47,1.1859137522698058e-46,4.4029087019431096e-46,1.5477211586200154e-45,5.175747014522078e-45,1.6533336424113762e-44,5.062976708057755e-44,1.4909774662597702e-43
0.02564102564102564,0.0,4.872756034606474e-56,1.750739464172729e-54,3.2280353771080734e-53,4.0698468797677685e-52,3.944771728930927e-51,3.1335743059251363e-50,2.1238064167315353e-49,1.2625430084404826e-48,6.716827780410676e-48,3.2470870226247115e-47,1.4435275089943856e-46,5.958346835896489e-46,2.3015036076636866e-45,8.37390904429117e-45,2.8858861017037894e-44,9.46496376778595e-44,2.9663432451278487e-43,8.915212022354062e-43,2.5775444698686967e-42
0.038461538461538464,0.0,1.3585421495902425e-54,4.7528698696752e-53,8.53905846738768e-52,1.0497192953401794e-50,9.926871437122612e-50,7.69812292017816e-49,5.096368769771513e-48,2.960933107982143e-47,1.5403094821353553e-46,7.284740116981676e-46,3.169766917262447e-45,1.281171581542254e-44,4.847986961367589e-44,1.7287320469395224e-43,5.841205941089495e-43,1.8790297403429807e-42,5.778146954179345e-42,1.7045370513376126e-41,4.838803200486009e-41
0.05128205128205128,0.0,4.0581355839573348e-53,1.3814293341841284e-51,2.416684288416042e-50,2.8948207108195146e-49,2.6692274944974795e-48,2.019550743490575e-47,1.3052282271609285e-46,7.40724441079128e-46,3.765945185360239e-45,1.7415778546025718e-44,7.413683110618986e-44,2.9329026830950937e-43,1.086757450634484e-42,3.796371848422721e-42,1.25717255100768e-41,3.9650767914044313e-41,1.1959131089864954e-40,3.4615590061585197e-40,9.6452313927161e-40
0.0641025641025641,0.0,1.2571343649456991e-51,4.160728555089762e-50,7.082424954562022e-49,8.260816853917634e-48,7.422113477024992e-47,5.475498059917346e-46,3.45266347531735e-45,1.9128564887909642e-44,9.499581034791223e-44,4.293521024503913e-43,1.7871866012116513e-42,6.916936498947036e-42,2.5086198967996537e-41,8.581323640558167e-41,2.7838947934474305e-40,8.605248068763886e-40,2.5447175622852197e-39,7.224493848817422e-39,1.9751735338885468e-38
0.07692307692307693,0.0,3.982902427296062e-50,1.2806179882752797e-48,2.1194330643818915e-47,2.4053819792847047e-46,2.1044079215935685e-45,1.512755360637939e-44,9.300970635403338e-44,5.027562446835941e-43,2.4374719286460567e-42,1.0761076303000949e-41,4.377785699411852e-41,1.6567838146749545e-40,5.8785400778711794e-40,1.9682368154717505e-39,6.252613354173379e-39,1.8934200078280723e-38,5.487562442474859e-38,1.527488594470431e-37,4.096133136287919e-37
0.08974358974358974,0.0,1.2812966992206226e-48,3.9987791438296313e-47,6.4292718118818205e-46,7.094400425071579e-45,6.039305497970264e-44,4.227359469148578e-43,2.532641107646638e-42,1.3348547397152112e-41,6.314216393007029e-41,2.721434680173946e-40,1.0814488054517906e-39,4.000019848395682e-39,1.3878279663077696e-38,4.545990231539548e-38,1.4135254641811082e-37,4.191574742116779e-37,1.190109938162045e-36,3.2467173537237975e-36,8.536382148557892e-36
0.10256410256410256,0.0,4.1677291059469003e-47,1.2613553806901749e-45,1.9684834096993576e-44,2.110192702298135e-43,1.7465668281210083e-42,1.1895839087307812e-41,6.939773047714368e-41,3.5641245393877785e-40,1.643886645671779e-39,6.912832794250931e-39,2.681815740508773e-38,9.689400041666524e-38,3.285623215614911e-37,1.0524053743678431e-36,3.2014433290116895e-36,9.292080827327008e-36,2.583531389354785e-35,6.904802221281132e-35,1.7792717987188543e-34
0.11538461538461538,0.0,1.3670489824959767e-45,4.0082942962940883e-44,6.066196545627219e-43,6.312030907082036e-42,5.07540909662528e-41,3.3610514371473847e-40,1.9078996356753537e-39,9.541383942885087e-39,4.2882509092229596e-38,1.7583305939008261e-37,6.6555171507051475e-37,2.347563204732469e-36,7.775936081209664e-36,2.434266673685603e-35,7.241127300192776e-35,2.056192834372954e-34,5.5957861092884825e-34,1.464510415735838e-33,3.697146173803761e-33
0.1282051282051282,0.0,4.513535545983782e-44,1.2807947081537085e-42,1.8779172532877072e-41,1.894934610854531e-40,1.4789757367417914e-39,9.514953075797415e-39,5.251506972674028e-38,2.5554813619687875e-37,1.118388185643228e-36,4.4685392263109565e-36,1.649247731878194e-35,5.675873506841649e-35,1.8354333289865369e-34,5.6126974234999904e-34,1.6317848926274334e-33,4.531051074874216e-33,1.2063960054017074e-32,3.090444630661262e-32,7.63998041930609e-32
0.14102564102564102,0.0,1.4981031028634406e-42,4.109704469837784e-41,5.831729693726862e-40,5.701091325758375e-39,4.3151191639342e-38,2.6946736082946946e-37,1.4448671023290345e-36,6.836228929871653e-36,2.911202538016202e-35,1.132659990438131e-34,4.073574756267997e-34,1.3669881565748447e-33,4.3130573899865414e-33,1.2876329350939567e-32,3.656825668404026e-32,9.924233268166461e-32,2.583864574860782e-31,6.47586824728306e-31,1.5670128708279617e-30
0.15384615384615385,0.0,4.994026754422733e-41,1.3228524100426087e-39,1.814710737922494e-38,1.7169629984165015e-37,1.2590462222327042e-36,7.6247601826167e-36,3.968431776937828e-35,1.824128091514712e-34,7.5529118401530386e-34,2.8594395465908124e-33,1.00141625465721e-32,3.2746358833464553e-32,1.0074634892805096e-31,2.934636794485154e-31,8.136620144626974e-31,2.1570558408536117e-30,5.4890175982109816e-30,1.3452672864149114e-29,3.1848151295279515e-29
0.16666666666666666,0.0,1.6708464859777743e-39,4.2681214106881655e-38,5.65363422599466e-37,5.171229460824784e-36,3.670040674341214e-35,2.15330135690551e-34,1.0868565476987384e-33,4.8493467799233324e-33,1.95071451018929e-32,7.180707109940153e-32,2.447057039216043e-31,7.792089280584636e-31,2.3360571464329163e-30,6.635265524973523e-30,1.7950239314366972e-29,4.645893026629163e-29,1.1548650983354017e-28,2.766367697880205e-28,6.40435731549584e-28
0.1794871794871795,0.0,5.607389055575145e-38,1.3794534820194423e-36,1.7621436812827264e-35,1.5563456054902475e-34,1.0678234570498547e-33,6.0636421713943815e-33,2.9652021822885835e-32,1.2830512139928563e-31,5.009946879346836e-31,1.7916869582360967e-30,5.936769697217163e-30,1.8395324663174074e-29,5.370352376975537e-29,1.4864327868189671e-28,3.921132251731361e-28,9.90232674011843e-28,2.4031757633029477e-27,5.62338327638698e-27,1.2724267185500565e-26
0.1923076923076923,0.0,1.886841245930415e-36,4.4636269590988086e-35,5.491264002297042e-34,4.6771840975013326e-33,3.098708202051923e-32,1.7011217308936072e-31,8.051200605577143e-31,3.375266583623431e-30,1.2781457191815818e-29,4.437032528817618e-29,1.4283704225160247e-28,4.303422894127571e-28,1.2225358139529223e-27,3.2951467149725456e-27,8.47058855064063e-27,2.0859249198016277e-26,4.9394532375184853e-26,1.1284503655398412e-25,2.4943439377849436e-25
0.20512820512820512,0.0,6.363698946224868e-35,1.445360502379567e-33,1.70990211280085e-32,1.4026138654627489e-31,8.961617672893166e-31,4.75060223492155e-30,2.1736987612491976e-29,8.819748854521296e-29,3.2358715102714946e-28,1.089411032807048e-27,3.4043046819605436e-27,9.964764509444039e-27,2.7525542559135915e-26,7.219493708241482e-26,1.8072647704077581e-25,4.336956937205118e-25,1.0014524924239415e-24,2.2323981676346954e-24,4.817734390147379e-24
0.21794871794871795,0.0,2.1506038616311447e-33,4.6815545275728136e-32,5.317459395046098e-31,4.194563760235497e-30,2.5810417391370524e-29,1.3195159894426742e-28,5.830130804359917e-28,2.286999657700253e-27,8.12112479829782e-27,2.6490194743255875e-26,8.028157196671609e-26,2.281123546258608e-25,6.121940446245242e-25,1.5613035305661252e-24,3.803349826994534e-24,8.888165052102125e-24,2.0000552518270603e-23,4.3476525783725305e-23,9.155252896616254e-23
0.23076923076923075,0.0,7.280917244058619e-32,1.5162169423582357e-30,1.650608869488372e-29,1.2501195919488503e-28,7.397438812287354e-28,3.6422262643222686e-27,1.552008218742142e-26,5.878966216374441e-26,2.0183119765594296e-25,6.372043322358819e-25,1.871045875360625e-24,5.1560614616387664e-24,1.3432580728142283e-23,3.3284038515704504e-23,7.884049036749797e-23,1.7929415808874838e-22,3.929033553348375e-22,8.323203891719828e-22,1.7091689995991238e-21
0.24358974358974358,0.0,2.4688898198353372e-30,4.9082778900613015e-29,5.11168303863756e-28,3.7106203827298304e-27,2.1081802189339595e-26,9.98209309364781e-26,4.0965805622790527e-25,1.496576457377945e-24,4.961494627577409e-24,1.514423922949257e-23,4.3040967723199754e-23,1.1492068303241682e-22,2.9036745099246925e-22,6.984468238171864e-22,1.6074329541881394e-21,3.5546110874643114e-21,7.58037747369262e-21,1.5638447213886113e-20,3.1295973776379253e-20
0.2564102564102564,0.0,8.383696862109821e-29,1.5875770912926718e-27,1.578443398380608e-26,1.096152423561659e-25,5.969183222384986e-25,2.713737644572141e-24,1.0710356161053585e-23,3.76844418750881e-23,1.204909113436911e-22,3.5515978159296683e-22,9.759133930440801e-22,2.5221148797519063e-21,6.174557380852079e-21,1.4404840799245372e-20,3.2182949573042747e-20,6.914812945885344e-20,1.4339396432162683e-19,2.878871283383715e-19,5.61079846586016e-19
0.2692307692307692,0.0,2.850536429759581e-27,5.1288146682807365e-26,4.8572594238631445e-25,3.2203353897640696e-24,1.6776950291359527e-23,7.310675676327239e-23,2.7703944463473836e-22,9.374434770658676e-22,2.886870936871289e-21,8.207009276768594e-21,2.1777931443701593e-20,5.4416795399993e-20,1.289499953565424e-19,2.9149113443364354e-19,6.316409409095798e-19,1.31750785652669e-18,2.654664685918586e-18,5.18278942946324e-18,9.830272418628131e-18
0.28205128205128205,0.0,9.703364535277039e-26,1.6542711868079328e-24,1.4886126509312235e-23,9.401158348953766e-23,4.675963406266529e-22,1.9493674404340345e-21,7.08075715457362e-21,2.3006034635870075e-20,6.813654413468785e-20,1.865686539115595e-19,4.774958332130809e-19,1.1522360626232502e-18,2.6400011397139193e-18,5.7765330544634485e-18,1.2129013883930331e-17,2.453850440156821e-17,4.800043864675487e-17,9.105789814625905e-17,1.679557270559875e-16
0.2948717948717949,0.0,3.3065679057507804e-24,5.325030260322779e-23,4.540483882297042e-22,2.724669636710384e-21,1.290936927769479e-20,5.1382740495356244e-20,1.7856379395256079e-19,5.561214584309063e-19,1.5815359941014526e-18,4.16491796154379e-18,1.0267184058202249e-17,2.3896573298420317e-17,5.287705348970811e-17,1.1187120883339013e-16,2.273785905298279e-16,4.457584462201873e-16,8.457668961933369e-16,1.5576802388504477e-15,2.7918289571086493e-15
0.3076923076923077,0.0,1.1278526720655202e-22,1.70986724433657e-21,1.377259470018759e-20,7.831516315289024e-20,3.525840602398206e-19,1.3368732084125066e-18,4.435781452413913e-18,1.3217549820968487e-17,3.603207334987967e-17,9.11176856779198e-17,2.1603872486339208e-16,4.843344688363915e-16,1.033725360631741e-15,2.1122302689453067e-15,4.151229491070891e-15,7.878006489792627e-15,1.448477276995036e-14,2.587678982703744e-14,4.502912100384565e-14
0.3205128205128205,0.0,3.8504589512879216e-21,5.473948063916294e-20,4.150829525434628e-19,2.2297393493728967e-18,9.512735383756266e-18,3.4274810277667116e-17,1.083395595716824e-16,3.082398369548058e-16,8.03987063065927e-16,1.948987757491069e-15,4.437538849252668e-15,9.568819567503523e-15,1.9672808555288906e-14,3.8774808843887564e-14,7.360198091110997e-14,1.3506816543380274e-13,2.4041298026240833e-13,4.1621829425157926e-13,7.025802232454777e-13
0.3333333333333333,0.0,1.3156104267067202e-19,1.746121156996437e-18,1.2416674796102557e-17,6.279489069360024e-17,2.5309530324598125e-16,8.641874857846271e-16,2.595865667192764e-15,7.036173335479814e-15,1.752421725524964e-14,4.0648262338504095e-14,8.872445898176648e-14,1.8373240899305487e-13,3.633445557953102e-13,6.898791319096007e-13,1.2632324640954903e-12,2.239106410981583e-12,3.854140364695386e-12,6.459883531302922e-12,1.0567900235818924e-11
0.34615384615384615,0.0,4.498521215045254e-18,5.545912586176286e-17,3.682013697394318e-16,1.7463212950152066e-15,6.626851714315153e-15,2.1377829308379456e-14,6.08578458627241e-14,1.567682423205673e-13,3.7199597442359903e-13,8.239660366602801e-13,1.7209980212205117e-12,3.416787309286502e-12,6.489397201894984e-12,1.1852538361689886e-11,2.0908405956903576e-11,3.57529186743006e-11,5.944583003737074e-11,9.635983178678498e-11,1.5262441070633316e-10
0.358974358974359,0.0,1.5392736877291914e-16,1.7523516836570914e-15,1.0807311510470192e-14,4.785929632072171e-14,1.7033276597647643e-13,5.173774675851707e-13,1.3916280442130774e-12,3.3976154907112727e-12,7.662543894631435e-12,1.6171640478597242e-11,3.225710663298114e-11,6.128663845509418e-11,1.116043391239792e-10,1.95783408610352e-10,3.3225607695169676e-10,5.473916714211658e-10,8.780983231112205e-10,1.3750274973334046e-09,2.106463173997482e-09
0.3717948717948718,0.0,5.270405472203723e-15,5.5024355853823286e-14,3.1339244557906975e-13,1.2893087074931882e-12,4.284845605436448e-12,1.2207606029429718e-11,3.091982979520673e-11,7.133284498462536e-11,1.52488562578351e-10,3.0589834681460086e-10,5.814325957261011e-10,1.0550708757072934e-09,1.8388319337267844e-09,3.093205121256895e-09,5.0423997287035194e-09,7.992716696641741e-09,1.2354328574460039e-08,1.866672901851551e-08,2.762808325058577e-08
0.3846153846153846,0.0,1.8056560607281007e-13,1.7146917599772573e-12,8.957153254034658e-12,3.403465797817493e-11,1.0509116319454782e-10,2.7961189387199297e-10,6.643499875776697e-10,1.4434107340945887e-09,2.9160139610107183e-09,5.545362031338494e-09,1.0019897701497037e-08,1.7328052133247734e-08,2.8847368261826766e-08,4.644864782764951e-08,7.261552041885816e-08,1.1057957777617733e-07,1.6447096337479703e-07,2.3948406192141746e-07,3.4205770088694313e-07
