r,"C(r, t=50000.0)","C(r, t=100000.0)","C(r, t=150000.0)","C(r, t=200000.0)","C(r, t=250000.0)","C(r, t=300000.0)","C(r, t=350000.0)","C(r, t=400000.0)","C(r, t=450000.0)","C(r, t=500000.0)","C(r, t=550000.0)","C(r, t=600000.0)","C(r, t=650000.0)","C(r, t=700000.0)","C(r, t=750000.0)","C(r, t=800000.0)","C(r, t=850000.0)","C(r, t=900000.0)","C(r, t=950000.0)","C(r, t=1000000.0)"
0.0,0.0,1.0195481403463826e-88,9.47115114513878e-87,4.429994129367286e-85,1.3910246685913394e-83,3.298659793726473e-82,6.301256364245716e-81,1.009996013288993e-79,1.3971296931887048e-78,1.7026305078253426e-77,1.8569380072663387e-76,1.835058988946024e-75,1.6597031544424741e-74,1.3852561114277455e-73,1.0743922687849439e-72,7.789215481438748e-72,5.305564511684588e-71,3.410347317037172e-70,2.0767403040305758e-69,1.2021963814397412e-68
0.0031446540880503146,0.0,2.0170752855262264e-88,1.8540425558034635e-86,8.582942316373594e-85,2.6680460818649245e-83,6.265082806500589e-82,1.1853559387750528e-80,1.8822251663724383e-79,2.5799627746244145e-78,3.1161128771023163e-77,3.368948520195829e-76,3.300930519959277e-75,2.9606598816379913e-74,2.4509789803934207e-73,1.885822844751761e-72,1.3565470988524154e-71,9.169553365750504e-71,5.850064468820956e-70,3.536368982288279e-69,2.032497201652599e-68
0.006289308176100629,0.0,5.009656721065758e-88,4.57482487967222e-86,2.104178687739252e-84,6.499110321685679e-83,1.5164351844822937e-81,2.8510468458264962e-80,4.4989126256227743e-79,6.128462018931543e-78,7.356559984933236e-77,7.904980058984298e-76,7.698545112999037e-75,6.863530063224543e-74,5.648147587290446e-73,4.320114572652212e-72,3.0894237509780368e-71,2.076151992794825e-70,1.3169215924172306e-69,7.915255017061388e-69,4.5233996622911715e-68
0.009433962264150945,0.0,1.4733149338427561e-87,1.3367838995226804e-85,6.109256570260919e-84,1.8749874612148422e-82,4.347369086051177e-81,8.122402431546909e-80,1.2737502647259362e-78,1.7244225777806553e-77,2.0573167310645303e-76,2.197251893242196e-75,2.126957194583441e-74,1.8848934396672783e-73,1.541886631479316e-72,1.172375173009609e-71,8.33472733564451e-71,5.568434114679183e-70,3.511649616419979e-69,2.098507938053443e-68,1.1924003146533958e-67
0.012578616352201259,0.0,4.665959254414497e-87,4.20649139875652e-85,1.9102085059340586e-83,5.825649188626942e-82,1.3422881153000866e-80,2.492278161999119e-79,3.8842606667077796e-78,5.226355381869242e-77,6.197355867685858e-76,6.578908508792022e-75,6.330236809934873e-74,5.576394754296632e-73,4.53463934541278e-72,3.427665543290809e-71,2.4226042281653514e-70,1.6091664106700818e-69,1.0089583108747197e-68,5.9949288428899254e-68,3.387067843717377e-67
0.015723270440251572,0.0,1.5353606393833079e-86,1.3753022912602074e-84,6.205662893646254e-83,1.8806210528339427e-81,4.305983498349892e-80,7.94534301450032e-79,1.2306475309078663e-77,1.645708367167441e-76,1.9395823870267747e-75,2.0465508053351547e-74,1.9573764387768732e-73,1.7140056766820812e-72,1.3855566298317871e-71,1.0411684405505423e-70,7.315838545890999e-70,4.831250508319531e-69,3.0118023449170684e-68,1.779301051766418e-67,9.995828387712721e-67
0.01886792452830189,0.0,5.170892973597898e-86,4.602027174638992e-84,2.063269339780226e-82,6.2130722582320595e-81,1.413628344222806e-79,2.592110368082487e-78,3.989995811402103e-77,5.3028494309924184e-76,6.211576647932964e-75,6.514373745215195e-74,6.192986636126851e-73,5.39054415644096e-72,4.331695503838953e-71,3.235835612080076e-70,2.2603709593866712e-69,1.4840326762387907e-68,9.198068450251906e-68,5.4028592081990345e-67,3.01796816178663e-66
0.022012578616352203,0.0,1.7689157263501355e-85,1.5641227607151263e-83,6.967529356071576e-82,2.0847377897869546e-80,4.713278743138686e-79,8.5882500637072965e-78,1.3137332324151429e-76,1.7351923279164186e-75,2.0200566762453904e-74,2.1056071895777483e-73,1.9896064930713505e-72,1.7213976236386575e-71,1.3750137331507962e-70,1.0210684847258147e-69,7.090649758553532e-69,4.628135528055862e-68,2.8518963619687672e-67,1.6655331184081787e-66,9.250274861016865e-66
0.025157232704402517,0.0,6.119759358626676e-85,5.376021376480017e-83,2.379322764660359e-81,7.073455155364043e-80,1.589021883382849e-78,2.877125228400581e-77,4.373499838666604e-76,5.74060523864163e-75,6.641739297352318e-74,6.880558398262696e-73,6.461914724189877e-72,5.557025222853911e-71,4.4121936908855456e-70,3.2569252945679203e-69,2.2483461753933955e-68,1.4589018299234534e-67,8.937479073404126e-67,5.189363872501421e-66,2.8655837805332725e-65
0.02830188679245283,0.0,2.135252383046316e-84,1.8634637643317282e-82,8.193701966160675e-81,2.4201748460335174e-79,5.402000341080216e-78,9.718832650583319e-77,1.4680331070270599e-75,1.9148571131648513e-74,2.2016729285744354e-73,2.2667679595458345e-72,2.115811154186594e-71,1.808464686016816e-70,1.427229109847843e-69,1.0472193418676227e-68,7.186258563027363e-68,4.6354766820149576e-67,2.8231289676003244e-66,1.6296548644515448e-65,8.947027094680525e-65
