dr,L1_error,L2_error,Linfty_error
0.02631578947368421,91395.00884359737,105285.15946978776,155355.96455606105
0.01282051282051282,95514.18482729225,108073.3408275074,156398.89413677334
0.006329113924050633,97574.54709341767,109351.01072566806,156597.06436631264
0.0031446540880503146,98532.48824415298,109891.06116956448,156703.4305585979
