R,c (mol/m^3) @ t=0,c (mol/m^3) @ t=50000,c (mol/m^3) @ t=1E5,c (mol/m^3) @ t=1.5E5,c (mol/m^3) @ t=2E5,c (mol/m^3) @ t=2.5E5,c (mol/m^3) @ t=3E5,c (mol/m^3) @ t=3.5E5,c (mol/m^3) @ t=4E5,c (mol/m^3) @ t=4.5E5,c (mol/m^3) @ t=5E5,c (mol/m^3) @ t=5.5E5,c (mol/m^3) @ t=6E5,c (mol/m^3) @ t=6.5E5,c (mol/m^3) @ t=7E5,c (mol/m^3) @ t=7.5E5,c (mol/m^3) @ t=8E5,c (mol/m^3) @ t=8.5E5,c (mol/m^3) @ t=9E5,c (mol/m^3) @ t=9.5E5,c (mol/m^3) @ t=1E6
0,0,2.1909139542608705E-282,6.2615112183703496E-198,6.587409183808599E-192,1.840742375168613E-138,1.8751868803234727E-135,6.8726429453505E-133,7.217305530757566E-98,9.466595957989561E-97,5.036842529365857E-95,2.093210109628333E-93,4.4483463513464696E-92,2.573765399468768E-91,6.11966795118715E-90,1.0522121290079232E-77,4.087489040797191E-77,1.2988823947765618E-75,4.4631086396005675E-75,7.235496055865242E-74,2.4042414603682015E-73,2.69913320011395E-72
0.006329113924050633,0,1.4147592219461354E-279,4.075273515390647E-196,4.1396127277643343E-190,2.5061121438379826E-137,2.5206572486890685E-134,9.068844816969547E-132,3.4909174848215517E-97,4.556341564263696E-96,2.4093635509714496E-94,9.90480559690658E-93,2.083808414034369E-91,1.2041330477124453E-90,2.83236352838327E-89,3.336168578999043E-77,1.2959889103124703E-76,4.072637121388306E-75,1.3988376074269989E-74,2.24378414396036E-73,7.450077242948676E-73,8.279192777307645E-72
0.012658227848101266,0,4.592169346300251E-276,1.1080838334022471E-193,1.0824705619040057E-187,1.1765241650082049E-135,1.1658209295622654E-132,4.104657178800927E-130,4.754664013447351E-96,6.167297099420097E-95,3.2356378844992655E-93,1.3119384309383018E-91,2.724961542880376E-90,1.572041562228467E-89,3.6472485144927706E-88,2.628965050443311E-76,1.021264204818233E-75,3.160913397392904E-74,1.0850775108546957E-73,1.715400993640757E-72,5.689685795183264E-72,6.235420651507226E-71
0.0189873417721519,0,1.730500410552418E-272,3.5078623794461096E-191,3.294069129074639E-185,6.46269693698992E-134,6.308060857170685E-131,2.1731054312790666E-128,7.64744926349077E-95,9.858343142584583E-94,5.1311796215452245E-92,2.051950878795655E-90,4.207673891278966E-89,2.4233829421095242E-88,5.545471948687216E-87,2.465082622981199E-75,9.576014121384356E-75,2.9192327979888716E-73,1.0015438399136317E-72,1.560561980930386E-71,5.170595883319426E-71,5.5884042991055947E-70
0.02531645569620253,0,6.92448929197389E-269,1.1799085320815345E-188,1.0645402379028275E-182,3.775554893723347E-132,3.629282628632056E-129,1.223040608170069E-126,1.3103610850097682E-93,1.678723007599891E-92,8.667145110562612E-91,3.417825025245435E-89,6.918176122188695E-88,3.9776802286537935E-87,8.976155824466587E-86,2.4657485519590697E-74,9.578601030719831E-74,2.8755210797142904E-72,9.859704764692705E-72,1.5139498214094978E-70,5.0106674771963516E-70,5.340114561731465E-69
0.03164556962025317,0,2.8625551679211337E-265,4.101222619139619E-186,3.55318301863189E-180,2.280178729758245E-130,2.1580795660824924E-127,7.11230499876854E-125,2.3226508966167926E-92,2.9570426039363245E-91,1.5141443987757528E-89,5.886850396015772E-88,1.1760369182852513E-86,6.749906397765191E-86,1.5018315290808483E-84,2.5525550934725312E-73,9.915815150657936E-73,2.9307346525074105E-71,1.0042968847978042E-70,1.5193556542492524E-69,5.022893656565163E-69,5.277622991463105E-68
0.0379746835443038,0,1.2078413515926032E-261,1.4551945061274234E-183,1.2099711373825175E-177,1.4059931195757748E-128,1.309896291268543E-125,4.2207141148336265E-123,4.205142984197602E-91,5.320148248582955E-90,2.7012918687759387E-88,1.0352437363414478E-86,2.0408089081691795E-85,1.1692216966192683E-84,2.564470520691849E-83,2.699553894216254E-72,1.0486855885150065E-71,3.0508659416504234E-70,1.044813111030502E-69,1.5570144406209606E-68,5.141414164188671E-68,5.324908546764917E-67
0.04430379746835443,0,5.168499641326771E-258,5.236650191577347E-181,4.176468602772928E-175,8.793736868928244E-127,8.062603604224837E-124,2.539276704079368E-121,7.724753649291385E-90,9.711360911602451E-89,4.888642946263089E-87,1.8463962397607268E-85,3.591114162340327E-84,2.0536180658041688E-83,4.4392439746412356E-82,2.8970957296262507E-71,1.1254239252981468E-70,3.221922207758629E-69,1.1026852191031295E-68,1.618322274446917E-67,5.337458803366289E-67,5.447802368546055E-66
0.05063291139240506,0,2.234371569144252E-254,1.903860387175456E-178,1.455583434293342E-172,5.557100928923845E-125,5.012883943933825E-122,1.5427094629599092E-119,1.4341112940018268E-88,1.7914866633057624E-87,8.939263748145043E-86,3.3266787777053697E-84,6.3823416644197225E-83,3.642870124268104E-82,7.759426679414138E-81,3.142362846045053E-70,1.220701923204017E-69,3.4380858209729966E-68,1.1758851291634619E-67,1.6991703220131325E-66,5.597181218362816E-66,5.628884577645587E-65
0.056962025316455694,0,9.734393272414244E-251,6.975680241851104E-176,5.1094258324660734E-170,3.5393264376758045E-123,3.14038767093266E-120,9.440914965419572E-118,2.6839716718543713E-87,3.331396938575512E-86,1.6474456178323171E-84,6.0394414252620175E-83,1.1427433664658609E-81,6.5097115583994315E-81,1.365996159214618E-79,3.436094157038509E-69,1.3348066252113753E-68,3.697571619951404E-67,1.2637659142221691E-66,1.7975992650770345E-65,5.913856531320444E-65,5.858627554236922E-64
