R,c (mol/m^3) @ t=0,c (mol/m^3) @ t=50000,c (mol/m^3) @ t=1E5,c (mol/m^3) @ t=1.5E5,c (mol/m^3) @ t=2E5,c (mol/m^3) @ t=2.5E5,c (mol/m^3) @ t=3E5,c (mol/m^3) @ t=3.5E5,c (mol/m^3) @ t=4E5,c (mol/m^3) @ t=4.5E5,c (mol/m^3) @ t=5E5,c (mol/m^3) @ t=5.5E5,c (mol/m^3) @ t=6E5,c (mol/m^3) @ t=6.5E5,c (mol/m^3) @ t=7E5,c (mol/m^3) @ t=7.5E5,c (mol/m^3) @ t=8E5,c (mol/m^3) @ t=8.5E5,c (mol/m^3) @ t=9E5,c (mol/m^3) @ t=9.5E5,c (mol/m^3) @ t=1E6
0,0,2.1909139542608705E-282,6.2615112183703496E-198,6.587409183808599E-192,1.840742375168613E-138,1.8751868803234727E-135,6.8726429453505E-133,7.217305530757566E-98,9.466595957989561E-97,5.036842529365857E-95,2.093210109628333E-93,4.4483463513464696E-92,2.573765399468768E-91,6.11966795118715E-90,1.0522121290079232E-77,4.087489040797191E-77,1.2988823947765618E-75,4.4631086396005675E-75,7.235496055865242E-74,2.4042414603682015E-73,2.69913320011395E-72
0.05555555555555555,0,1.5113471299151466E-251,1.877461241643038E-176,1.3884063135536799E-170,1.4052841703071857E-123,1.2515023959832393E-120,3.78209764945678E-118,1.3989687238817174E-87,1.7389066631906806E-86,8.616596855082659E-85,3.1694182765958815E-83,6.015557467586711E-82,3.4283096988040173E-81,7.218054754197737E-80,2.0181688370954553E-69,7.839904878761802E-69,2.1798234689563237E-67,7.451410608714546E-67,1.063641355134535E-65,3.5002406642409196E-65,3.4792202739918796E-64
0.1111111111111111,0,1.5606373946574236E-219,7.078280409669312E-154,3.4953262752442704E-148,1.1348302166673997E-107,8.636350860505962E-105,2.0971062419569384E-102,2.4438980581726748E-76,2.86663627899289E-75,1.3010073021097178E-73,4.152036862288302E-72,6.918328978547879E-71,3.865406678009493E-70,7.065658886672294E-69,3.1543492193118437E-60,1.2253582209580119E-59,2.9084020240819524E-58,9.871122896056553E-58,1.2134678929987554E-56,3.940977140562309E-56,3.3993076804527605E-55
0.16666666666666666,0,1.8219923262363068E-187,3.01915730551103E-131,9.345407873582363E-126,1.0407091195735259E-91,6.577661248569208E-89,1.2451486475516757E-86,4.9379046550738915E-65,5.446344924223736E-64,2.2160280869432263E-62,5.993806416174402E-61,8.597292348944288E-60,4.677838328309199E-59,7.25431673752859E-58,5.704408274095612E-51,2.215969724295659E-50,4.358020781917007E-49,1.4641101047080254E-48,1.510636576412702E-47,4.81653094497117E-47,3.524436759664835E-46
0.2222222222222222,0,2.190087318212087E-155,1.326926678651283E-108,2.3602670859259354E-103,9.88789948385477E-76,4.9824751667151086E-73,7.05707740169657E-71,1.0586555504418957E-53,1.0935463913510637E-52,3.8663173986940176E-51,8.57714479357155E-50,1.0311727613590997E-48,5.4056248731468154E-48,6.88800977556011E-47,1.0947244836537105E-41,4.2525985959504395E-41,6.633164968291553E-40,2.1937150512928988E-39,1.8324202773607355E-38,5.684231862569916E-38,3.4217940188889196E-37
0.2777777777777778,4.080750585072775E-291,2.6025051872172036E-123,5.772701080043332E-86,5.1958982940170575E-81,9.385855846547006E-60,3.54003271839832E-57,3.534727890255687E-55,2.3445043645772004E-42,2.2576381571750482E-41,6.603103418329388E-40,1.1441236358520168E-38,1.1094127874634892E-37,5.498602669148631E-37,5.4916709799663534E-36,2.1704401365455693E-32,8.428548455394725E-32,9.719621890978475E-31,3.1277006475555084E-30,2.005200473961715E-29,5.947006245746015E-29,2.8204205304502125E-28
0.3333333333333333,1.5026197441350966E-218,2.941313018006187E-91,2.3947069805130432E-63,8.889672420867624E-59,8.649302993181891E-44,2.1886921426210375E-41,1.4000218718529389E-39,5.299644116397583E-31,4.732266969594925E-30,1.0497198056194584E-28,1.3104124956240491E-27,9.646883441042585E-27,4.3528827605404546E-26,3.1581002535339465E-25,4.401552163845551E-23,1.693683070800796E-22,1.2725838178899682E-21,3.86285285204259E-21,1.7500428024988156E-20,4.772619163553663E-20,1.675067213970991E-19
0.38888888888888884,4.75746646959661E-146,2.9505981267362157E-59,8.87689249878306E-41,9.233177709175377E-37,7.433074347219112E-28,1.0008177190021403E-25,3.411454522982258E-24,1.215242330560021E-19,9.99824716849746E-19,1.391257754531699E-17,1.0689284733643048E-16,5.347875324644936E-16,2.0012185446325096E-15,9.176417583112427E-15,8.946038218084514E-14,3.028787480309506E-13,1.196984050855153E-12,3.0895512481864827E-12,8.765189002834602E-12,1.9898777103573442E-11,4.735438549145715E-11
0.4444444444444444,8.991730940557457E-74,2.0980017590851113E-27,2.4033768325946116E-18,2.462961638785127E-15,5.4235312227620446E-12,1.806342773912187E-10,1.957543521501904E-9,3.334399673793075E-8,1.9267102457820102E-7,8.948678266321609E-7,2.8496661110814545E-6,7.345563682595615E-6,1.6746565329072172E-5,3.638845567910678E-5,7.482252119160381E-5,1.4010389752679725E-4,2.465862473670546E-4,4.0379146508929956E-4,6.335683851618405E-4,9.515881940934078E-4,0.001383746815501376
0.5,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
