R,c (mol/m^3) @ t=0,c (mol/m^3) @ t=8E9,c (mol/m^3) @ t=1.6E10,c (mol/m^3) @ t=2.4E10,c (mol/m^3) @ t=3.2E10,c (mol/m^3) @ t=4E10,c (mol/m^3) @ t=4.8E10,c (mol/m^3) @ t=5.6E10,c (mol/m^3) @ t=6.4E10,c (mol/m^3) @ t=7.2E10,c (mol/m^3) @ t=8E10,c (mol/m^3) @ t=8.8E10,c (mol/m^3) @ t=9.6E10,c (mol/m^3) @ t=1.04E11,c (mol/m^3) @ t=1.12E11,c (mol/m^3) @ t=1.2E11,c (mol/m^3) @ t=1.28E11,c (mol/m^3) @ t=1.36E11,c (mol/m^3) @ t=1.44E11,c (mol/m^3) @ t=1.52E11,c (mol/m^3) @ t=1.6E11,c (mol/m^3) @ t=1.68E11,c (mol/m^3) @ t=1.76E11,c (mol/m^3) @ t=1.84E11,c (mol/m^3) @ t=1.92E11,c (mol/m^3) @ t=2E11,c (mol/m^3) @ t=2.08E11,c (mol/m^3) @ t=2.16E11,c (mol/m^3) @ t=2.24E11,c (mol/m^3) @ t=2.32E11,c (mol/m^3) @ t=2.4E11,c (mol/m^3) @ t=2.48E11,c (mol/m^3) @ t=2.56E11,c (mol/m^3) @ t=2.64E11,c (mol/m^3) @ t=2.72E11,c (mol/m^3) @ t=2.8E11,c (mol/m^3) @ t=2.88E11,c (mol/m^3) @ t=2.96E11,c (mol/m^3) @ t=3.04E11,c (mol/m^3) @ t=3.12E11,c (mol/m^3) @ t=3.2E11,c (mol/m^3) @ t=3.28E11,c (mol/m^3) @ t=3.36E11,c (mol/m^3) @ t=3.44E11,c (mol/m^3) @ t=3.52E11,c (mol/m^3) @ t=3.6E11,c (mol/m^3) @ t=3.68E11,c (mol/m^3) @ t=3.76E11,c (mol/m^3) @ t=3.84E11,c (mol/m^3) @ t=3.92E11,c (mol/m^3) @ t=4E11,c (mol/m^3) @ t=4.08E11,c (mol/m^3) @ t=4.16E11,c (mol/m^3) @ t=4.24E11,c (mol/m^3) @ t=4.32E11,c (mol/m^3) @ t=4.4E11,c (mol/m^3) @ t=4.48E11,c (mol/m^3) @ t=4.56E11,c (mol/m^3) @ t=4.64E11,c (mol/m^3) @ t=4.72E11,c (mol/m^3) @ t=4.8E11,c (mol/m^3) @ t=4.88E11,c (mol/m^3) @ t=4.96E11,c (mol/m^3) @ t=5.04E11,c (mol/m^3) @ t=5.12E11,c (mol/m^3) @ t=5.2E11,c (mol/m^3) @ t=5.28E11,c (mol/m^3) @ t=5.36E11,c (mol/m^3) @ t=5.44E11,c (mol/m^3) @ t=5.52E11,c (mol/m^3) @ t=5.6E11,c (mol/m^3) @ t=5.68E11,c (mol/m^3) @ t=5.76E11,c (mol/m^3) @ t=5.84E11,c (mol/m^3) @ t=5.92E11,c (mol/m^3) @ t=6E11,c (mol/m^3) @ t=6.08E11,c (mol/m^3) @ t=6.16E11,c (mol/m^3) @ t=6.24E11,c (mol/m^3) @ t=6.32E11,c (mol/m^3) @ t=6.4E11,c (mol/m^3) @ t=6.48E11,c (mol/m^3) @ t=6.56E11,c (mol/m^3) @ t=6.64E11,c (mol/m^3) @ t=6.72E11,c (mol/m^3) @ t=6.8E11,c (mol/m^3) @ t=6.88E11,c (mol/m^3) @ t=6.96E11,c (mol/m^3) @ t=7.04E11,c (mol/m^3) @ t=7.12E11,c (mol/m^3) @ t=7.2E11,c (mol/m^3) @ t=7.28E11,c (mol/m^3) @ t=7.36E11,c (mol/m^3) @ t=7.44E11,c (mol/m^3) @ t=7.52E11,c (mol/m^3) @ t=7.6E11,c (mol/m^3) @ t=7.68E11,c (mol/m^3) @ t=7.76E11,c (mol/m^3) @ t=7.84E11,c (mol/m^3) @ t=7.92E11,c (mol/m^3) @ t=8E11,c (mol/m^3) @ t=8.08E11,c (mol/m^3) @ t=8.16E11,c (mol/m^3) @ t=8.24E11,c (mol/m^3) @ t=8.32E11,c (mol/m^3) @ t=8.4E11,c (mol/m^3) @ t=8.48E11,c (mol/m^3) @ t=8.56E11,c (mol/m^3) @ t=8.64E11,c (mol/m^3) @ t=8.72E11,c (mol/m^3) @ t=8.8E11,c (mol/m^3) @ t=8.88E11,c (mol/m^3) @ t=8.96E11,c (mol/m^3) @ t=9.04E11,c (mol/m^3) @ t=9.12E11,c (mol/m^3) @ t=9.2E11,c (mol/m^3) @ t=9.28E11,c (mol/m^3) @ t=9.36E11,c (mol/m^3) @ t=9.44E11,c (mol/m^3) @ t=9.52E11,c (mol/m^3) @ t=9.6E11,c (mol/m^3) @ t=9.68E11,c (mol/m^3) @ t=9.76E11,c (mol/m^3) @ t=9.84E11,c (mol/m^3) @ t=9.92E11,c (mol/m^3) @ t=1E12
0,9.526115523509263E-19,2.1537468604578933,2.153768007601211,2.1537741682023532,2.153774684139053,2.153774751171155,2.1537740601812203,2.1537733691912857,2.1537726782013515,2.153771987211417,2.153771787491866,2.1537716565404974,2.1537715255891285,2.15377139463776,2.1537712636863913,2.1537711327350224,2.153771001783654,2.153770870832285,2.1537707398809167,2.1537707491720064,2.1537707761968967,2.1537708032217875,2.153770830246678,2.1537708572715686,2.153770884296459,2.1537709113213497,2.15377093834624,2.1537709653711308,2.153770992396021,2.153771019420912,2.153771046445802,2.153771070179835,2.1537710887175305,2.1537711072552264,2.1537711257929217,2.1537711443306176,2.153771162868313,2.1537711814060088,2.153771199943704,2.1537712184814,2.1537712370190953,2.153771255556791,2.1537712740944865,2.1537712926321824,2.1537712956280908,2.153771296658724,2.1537712976893575,2.1537712987199913,2.1537712997506246,2.153771300781258,2.1537713018118914,2.153771302842525,2.1537713038731585,2.153771304903792,2.1537713059344257,2.153771306965059,2.1537713069531415,2.1537713052950127,2.1537713036368835,2.1537713019787548,2.153771300320626,2.1537712986624973,2.153771297004368,2.1537712953462393,2.1537712936881106,2.153771292029982,2.1537712903718527,2.153771288713724,2.153771287055595,2.1537712864876015,2.1537712860574563,2.153771285627311,2.153771285197166,2.153771284767021,2.153771284336876,2.153771283906731,2.1537712834765856,2.153771283046441,2.1537712826162956,2.1537712821861503,2.1537712817560055,2.153771281527015,2.153771281615652,2.1537712817042896,2.1537712817929267,2.1537712818815637,2.153771281970201,2.1537712820588384,2.1537712821474755,2.1537712822361126,2.15377128232475,2.1537712824133872,2.1537712825020243,2.1537712825906614,2.153771282646714,2.1537712826986453,2.153771282750577,2.153771282802509,2.15377128285444,2.153771282906372,2.153771282958304,2.153771283010235,2.153771283062167,2.1537712831140987,2.15377128316603,2.153771283217962,2.153771283250445,2.153771283252219,2.1537712832539926,2.1537712832557663,2.15377128325754,2.1537712832593137,2.1537712832610874,2.153771283262861,2.1537712832646347,2.1537712832664084,2.153771283268182,2.153771283269956,2.1537712832717295,2.1537712832713822,2.15377128327043,2.153771283269121,2.153771283267455,2.1537712832654323,2.1537712832630524,2.153771283260316
0.0031446540880503146,9.754756729710706E-19,2.1539598503157076,2.153980996251133,2.1539871565003414,2.153987672407549,2.1539877394358062,2.153987048485336,2.1539863575348654,2.1539856665843953,2.153984975633924,2.1539847759257813,2.1539846449818936,2.1539845140380063,2.1539843830941177,2.15398425215023,2.153984121206343,2.1539839902624545,2.1539838593185667,2.1539837283746786,2.1539837376652358,2.1539837646885793,2.1539837917119233,2.153983818735267,2.1539838457586105,2.153983872781955,2.1539838998052985,2.153983926828642,2.153983953851986,2.1539839808753296,2.153984007898674,2.153984034922017,2.153984058654695,2.1539840771913363,2.153984095727979,2.1539841142646217,2.1539841328012637,2.1539841513379057,2.153984169874548,2.1539841884111905,2.1539842069478317,2.153984225484474,2.1539842440211165,2.153984262557759,2.153984281094401,2.153984284090132,2.1539842851206994,2.1539842861512666,2.153984287181833,2.1539842882123996,2.153984289242967,2.1539842902735344,2.153984291304101,2.1539842923346684,2.1539842933652347,2.1539842943958027,2.153984295426369,2.1539842954144466,2.1539842937564107,2.1539842920983747,2.153984290440338,2.153984288782302,2.153984287124265,2.153984285466229,2.153984283808193,2.153984282150156,2.1539842804921205,2.153984278834084,2.1539842771760482,2.1539842755180114,2.153984274950056,2.1539842745199413,2.1539842740898285,2.153984273659714,2.1539842732296,2.153984272799486,2.1539842723693723,2.153984271939258,2.153984271509145,2.1539842710790307,2.153984270648916,2.1539842702188023,2.153984269989832,2.1539842700784693,2.1539842701671086,2.1539842702557466,2.1539842703443837,2.153984270433022,2.1539842705216605,2.1539842706102985,2.1539842706989365,2.1539842707875745,2.1539842708762125,2.153984270964851,2.1539842710534884,2.1539842711095387,2.153984271161467,2.1539842712133956,2.1539842712653248,2.153984271317254,2.1539842713691826,2.153984271421111,2.15398427147304,2.1539842715249686,2.153984271576897,2.153984271628826,2.153984271680755,2.1539842717132327,2.153984271714999,2.153984271716763,2.153984271718529,2.1539842717202946,2.15398427172206,2.1539842717238256,2.1539842717255904,2.1539842717273556,2.1539842717291213,2.1539842717308866,2.1539842717326523,2.1539842717344175,2.153984271734067,2.1539842717331132,2.1539842717318036,2.153984271730138,2.1539842717281172,2.1539842717257387,2.153984271723004
0.006289308176100629,1.045713815777892E-18,2.15459888307754,2.1546200253895043,2.154626184582906,2.154626700401617,2.154626767418317,2.1546260765862075,2.1546253857540987,2.1546246949219894,2.1546240040898805,2.1546238044159582,2.1546236734945126,2.154623542573067,2.1546234116516207,2.154623280730175,2.1546231498087294,2.1546230188872837,2.1546228879658385,2.1546227570443928,2.154622766333357,2.1546227933520696,2.1546228203707822,2.1546228473894953,2.154622874408208,2.1546229014269205,2.154622928445633,2.1546229554643457,2.1546229824830583,2.154623009501771,2.1546230365204835,2.154623063539196,2.1546230872678094,2.154623105801284,2.154623124334758,2.1546231428682328,2.1546231614017066,2.154623179935181,2.1546231984686552,2.154623217002129,2.154623235535604,2.154623254069078,2.1546232726025516,2.154623291136026,2.1546233096695016,2.154623312664712,2.1546233136950947,2.1546233147254776,2.1546233157558605,2.1546233167862425,2.1546233178166254,2.154623318847008,2.154623319877391,2.154623320907773,2.154623321938156,2.154623322968539,2.154623323998922,2.1546233239869887,2.154623322329215,2.1546233206714414,2.1546233190136674,2.154623317355894,2.1546233156981205,2.154623314040347,2.1546233123825735,2.1546233107248,2.1546233090670266,2.1546233074092536,2.1546233057514796,2.154623304093706,2.1546233035258555,2.154623303095826,2.1546233026657973,2.1546233022357684,2.154623301805739,2.1546233013757106,2.1546233009456817,2.1546233005156523,2.1546233000856234,2.1546232996555945,2.154623299225565,2.1546232987955363,2.154623298566623,2.1546232986552765,2.1546232987439295,2.1546232988325826,2.1546232989212357,2.154623299009889,2.154623299098542,2.154623299187195,2.1546232992758485,2.1546232993645016,2.1546232994531542,2.154623299541807,2.154623299630461,2.154623299686493,2.1546232997384,2.1546232997903076,2.154623299842215,2.1546232998941215,2.1546232999460297,2.1546232999979362,2.1546233000498436,2.154623300101752,2.1546233001536588,2.1546233002055666,2.1546233002574735,2.1546233002899355,2.1546233002916924,2.154623300293449,2.154623300295206,2.1546233002969624,2.1546233002987196,2.154623300300476,2.154623300302233,2.15462330030399,2.154623300305747,2.1546233003075037,2.15462330030926,2.154623300311017,2.1546233003106665,2.154623300309715,2.1546233003084074,2.154623300306746,2.154623300304731,2.15462330030236,2.154623300299635
0.009433962264150945,1.16839475828342E-18,2.155664148328102,2.1556852846014762,2.15569144203532,2.155691957706448,2.1556920247038427,2.1556913340690347,2.1556906434342276,2.15568995279942,2.155689262164612,2.155689062547741,2.1556889316637147,2.155688800779688,2.1556886698956608,2.155688539011634,2.1556884081276078,2.1556882772435815,2.1556881463595543,2.155688015475527,2.1556880247618366,2.155688051772827,2.155688078783817,2.1556881057948076,2.1556881328057984,2.155688159816788,2.1556881868277786,2.155688213838769,2.155688240849759,2.1556882678607483,2.1556882948717386,2.155688321882729,2.155688345604564,2.1556883641327507,2.1556883826609377,2.1556884011891233,2.1556884197173094,2.1556884382454955,2.1556884567736825,2.1556884753018686,2.1556884938300542,2.155688512358241,2.155688530886427,2.155688549414614,2.155688567942799,2.1556885709371416,2.1556885719672136,2.1556885729972866,2.1556885740273586,2.1556885750574297,2.1556885760875018,2.155688577117574,2.155688578147645,2.155688579177717,2.155688580207789,2.15568858123786,2.1556885822679326,2.1556885822559866,2.1556885805986687,2.155688578941352,2.1556885772840344,2.1556885756267175,2.1556885739694005,2.1556885723120836,2.155688570654766,2.155688568997449,2.1556885673401314,2.1556885656828153,2.1556885640254975,2.1556885623681805,2.155688561800508,2.155688561370623,2.1556885609407375,2.1556885605108516,2.155688560080966,2.15568855965108,2.155688559221195,2.1556885587913097,2.1556885583614243,2.155688557931539,2.155688557501653,2.155688557071768,2.15568855684294,2.1556885569315853,2.15568855702023,2.1556885571088755,2.155688557197521,2.1556885572861666,2.1556885573748117,2.1556885574634577,2.1556885575521028,2.155688557640748,2.1556885577293934,2.155688557818039,2.155688557906684,2.155688557962701,2.1556885580145915,2.1556885580664824,2.1556885581183725,2.155688558170263,2.1556885582221543,2.155688558274045,2.1556885583259353,2.1556885583778262,2.1556885584297167,2.1556885584816063,2.1556885585334973,2.155688558565946,2.155688558567694,2.1556885585694414,2.1556885585711902,2.1556885585729377,2.155688558574686,2.1556885585764336,2.1556885585781815,2.15568855857993,2.155688558581678,2.1556885585834253,2.1556885585851737,2.155688558586921,2.1556885585865713,2.155688558585621,2.155688558584318,2.1556885585826606,2.1556885585806507,2.155688558578288,2.1556885585755716
0.012578616352201259,1.3524155798632605E-18,2.1571559621114473,2.1571770899324294,2.157183244903339,2.157183760367814,2.1571838273381276,2.157183136979469,2.1571824466208103,2.157181756262151,2.157181065903493,2.1571808663664696,2.1571807355348134,2.1571806047031563,2.1571804738715006,2.1571803430398435,2.1571802122081865,2.1571800813765303,2.1571799505448728,2.157179819713217,2.1571798289958126,2.1571798559959983,2.1571798829961835,2.157179909996368,2.1571799369965534,2.157179963996739,2.157179990996924,2.1571800179971095,2.157180044997295,2.15718007199748,2.1571800989976646,2.1571801259978507,2.157180149710202,2.1571801682309935,2.1571801867517846,2.1571802052725753,2.1571802237933664,2.157180242314158,2.1571802608349486,2.157180279355739,2.1571802978765313,2.1571803163973224,2.157180334918113,2.1571803534389042,2.1571803719596954,2.157180374952829,2.1571803759824744,2.1571803770121205,2.157180378041766,2.157180379071412,2.1571803801010576,2.1571803811307038,2.157180382160349,2.1571803831899956,2.157180384219641,2.1571803852492866,2.1571803862789323,2.1571803862669765,2.1571803846103106,2.1571803829536442,2.157180381296978,2.1571803796403124,2.1571803779836456,2.1571803763269797,2.1571803746703133,2.157180373013647,2.1571803713569815,2.1571803697003147,2.157180368043648,2.1571803663869824,2.1571803658195443,2.157180365389839,2.157180364960136,2.157180364530431,2.1571803641007277,2.1571803636710234,2.1571803632413196,2.157180362811615,2.157180362381911,2.1571803619522063,2.157180361522503,2.157180361092798,2.157180360864071,2.1571803609526894,2.157180361041307,2.157180361129926,2.1571803612185443,2.1571803613071627,2.157180361395781,2.1571803614843996,2.1571803615730176,2.157180361661636,2.157180361750254,2.157180361838873,2.157180361927491,2.1571803619834933,2.1571803620353713,2.1571803620872494,2.1571803621391283,2.1571803621910064,2.1571803622428845,2.157180362294763,2.1571803623466406,2.157180362398519,2.1571803624503976,2.157180362502275,2.1571803625541537,2.1571803625865877,2.15718036258832,2.157180362590052,2.1571803625917845,2.1571803625935164,2.157180362595249,2.1571803625969816,2.157180362598713,2.157180362600446,2.157180362602178,2.1571803626039103,2.1571803626056427,2.1571803626073747,2.1571803626070247,2.157180362606081,2.157180362604788,2.157180362603143,2.157180362601148,2.1571803625988033,2.157180362596108
0.015723270440251572,1.611214786667174E-18,2.159074767034022,2.1590958839902936,2.1591020357953106,2.1591025509941333,2.159102617929618,2.159101927925898,2.1591012379221772,2.1591005479184573,2.1590998579147365,2.1590996584803333,2.1590995277159766,2.1590993969516203,2.1590992661872637,2.159099135422907,2.1590990046585508,2.159098873894194,2.159098743129838,2.159098612365481,2.159098621643312,2.159098648629619,2.1590986756159256,2.159098702602233,2.1590987295885404,2.159098756574847,2.159098783561154,2.159098810547461,2.1590988375337683,2.159098864520075,2.159098891506382,2.159098918492689,2.159098942192858,2.1590989607041413,2.1590989792154245,2.159098997726708,2.159099016237991,2.159099034749275,2.1590990532605585,2.1590990717718417,2.1590990902831253,2.1590991087944085,2.1590991273056925,2.1590991458169757,2.1590991643282593,2.159099167319833,2.159099168348923,2.159099169378014,2.159099170407104,2.1590991714361953,2.159099172465286,2.1590991734943765,2.1590991745234667,2.1590991755525573,2.159099176581648,2.1590991776107384,2.159099178639829,2.1590991786278666,2.1590991769720578,2.1590991753162485,2.15909917366044,2.1590991720046313,2.1590991703488225,2.1590991686930137,2.159099167037205,2.159099165381396,2.1590991637255867,2.159099162069778,2.1590991604139695,2.1590991587581603,2.1590991581910193,2.159099157761541,2.159099157332062,2.159099156902584,2.1590991564731055,2.1590991560436272,2.1590991556141486,2.15909915518467,2.159099154755192,2.159099154325713,2.159099153896235,2.1590991534667565,2.1590991532381514,2.1590991533267303,2.159099153415308,2.1590991535038864,2.1590991535924644,2.159099153681043,2.159099153769621,2.1590991538581994,2.1590991539467774,2.159099154035356,2.1590991541239344,2.159099154212512,2.1590991543010905,2.1590991543570692,2.159099154408926,2.159099154460782,2.1590991545126386,2.1590991545644944,2.159099154616351,2.1590991546682075,2.1590991547200633,2.15909915477192,2.1590991548237763,2.1590991548756326,2.159099154927489,2.1590991549599035,2.159099154961619,2.159099154963334,2.1590991549650496,2.159099154966764,2.1590991549684797,2.159099154970195,2.15909915497191,2.1590991549736254,2.159099154975341,2.1590991549770555,2.159099154978771,2.1590991549804857,2.1590991549801415,2.1590991549792085,2.159099154977929,2.1590991549763032,2.1590991549743297,2.1590991549720107,2.1590991549693443
0.01886792452830189,1.963853070856228E-18,2.1614211324138304,2.161442236094626,2.161448384031263,2.1614488989055545,2.1614489657985225,2.161448276228496,2.16144758665847,2.161446897088444,2.1614462075184186,2.161446008209398,2.161445877527266,2.1614457468451347,2.161445616163004,2.161445485480872,2.1614453547987407,2.1614452241166084,2.161445093434478,2.1614449627523467,2.161444972024359,2.1614449989937152,2.1614450259630718,2.1614450529324274,2.1614450799017835,2.161445106871139,2.161445133840495,2.161445160809851,2.1614451877792074,2.161445214748563,2.161445241717919,2.1614452686872747,2.161445292372556,2.161445310872211,2.1614453293718663,2.1614453478715214,2.161445366371177,2.1614453848708313,2.1614454033704864,2.1614454218701415,2.161445440369797,2.161445458869452,2.161445477369107,2.1614454958687612,2.1614455143684164,2.1614455173580867,2.1614455183865036,2.161445519414921,2.161445520443338,2.1614455214717547,2.161445522500171,2.161445523528588,2.1614455245570046,2.161445525585422,2.1614455266138384,2.161445527642256,2.1614455286706726,2.1614455286586995,2.1614455270039263,2.161445525349153,2.1614455236943804,2.161445522039607,2.1614455203848344,2.1614455187300616,2.1614455170752884,2.1614455154205148,2.1614455137657425,2.1614455121109692,2.1614455104561965,2.1614455088014237,2.161445508234647,2.1614455078054484,2.161445507376251,2.161445506947052,2.161445506517853,2.1614455060886546,2.1614455056594557,2.161445505230258,2.1614455048010592,2.1614455043718603,2.1614455039426623,2.1614455035134634,2.161445503285019,2.1614455033735682,2.161445503462118,2.1614455035506674,2.161445503639216,2.161445503727766,2.161445503816315,2.161445503904864,2.1614455039934137,2.161445504081963,2.1614455041705125,2.1614455042590617,2.1614455043476104,2.161445504403562,2.161445504455391,2.1614455045072205,2.16144550455905,2.1614455046108794,2.161445504662709,2.161445504714538,2.1614455047663674,2.161445504818197,2.1614455048700263,2.1614455049218555,2.1614455049736856,2.161445505006073,2.161445505007763,2.1614455050094525,2.161445505011143,2.161445505012833,2.1614455050145236,2.161445505016213,2.1614455050179036,2.1614455050195938,2.161445505021283,2.1614455050229733,2.161445505024664,2.1614455050263537,2.1614455050260055,2.1614455050250765,2.161445505023805,2.1614455050221895,2.161445505020232,2.161445505017932,2.1614455050152883
0.022012578616352203,2.436552530261351E-18,2.1641957544663555,2.1642168424631425,2.1642229858296074,2.164223500320576,2.16422356716337,2.1642228781057273,2.164222189048084,2.1642214999904414,2.164220810932799,2.1642206117718974,2.1642204811868946,2.1642203506018918,2.1642202200168894,2.1642200894318866,2.1642199588468842,2.164219828261882,2.164219697676879,2.1642195670918767,2.1642195763570236,2.1642196033063623,2.1642196302557015,2.1642196572050407,2.16421968415438,2.16421971110372,2.164219738053059,2.1642197650023975,2.164219791951737,2.1642198189010764,2.1642198458504156,2.1642198727997544,2.1642198964674533,2.1642199149533687,2.1642199334392846,2.1642199519251997,2.164219970411115,2.164219988897031,2.164220007382946,2.1642200258688615,2.164220044354778,2.164220062840693,2.164220081326608,2.164220099812524,2.1642201182984397,2.1642201212858825,2.1642201223135284,2.164220123341174,2.164220124368819,2.1642201253964646,2.1642201264241097,2.164220127451755,2.1642201284794016,2.1642201295070462,2.1642201305346913,2.164220131562338,2.164220132589983,2.1642201325780017,2.164220130924427,2.1642201292708525,2.164220127617278,2.1642201259637033,2.1642201243101287,2.1642201226565545,2.16422012100298,2.1642201193494053,2.1642201176958307,2.164220116042256,2.164220114388681,2.1642201127351064,2.164220112168754,2.164220111739881,2.164220111311008,2.1642201108821353,2.164220110453263,2.16422011002439,2.164220109595517,2.1642201091666453,2.1642201087377715,2.164220108308899,2.164220107880026,2.1642201074511536,2.1642201072228957,2.164220107311415,2.164220107399934,2.164220107488454,2.1642201075769725,2.1642201076654914,2.1642201077540104,2.1642201078425294,2.1642201079310484,2.1642201080195678,2.1642201081080863,2.1642201081966057,2.1642201082851247,2.1642201083410555,2.164220108392866,2.1642201084446757,2.1642201084964863,2.1642201085482964,2.164220108600107,2.164220108651917,2.164220108703727,2.1642201087555377,2.1642201088073483,2.1642201088591584,2.1642201089109685,2.164220108943331,2.164220108944987,2.164220108946642,2.164220108948298,2.1642201089499533,2.164220108951609,2.164220108953264,2.164220108954919,2.1642201089565747,2.1642201089582302,2.1642201089598854,2.1642201089615414,2.1642201089631965,2.1642201089628403,2.1642201089619104,2.164220108960642,2.164220108959035,2.164220108957089,2.1642201089548054,2.1642201089521826
0.025157232704402517,3.0648240088981937E-18,2.1673994565312453,2.1674205264382453,2.167426664533524,2.1674271785823738,2.1674272453673,2.1674265569006383,2.1674258684339778,2.1674251799673168,2.167424491500656,2.1674242925106113,2.1674241620376575,2.1674240315647033,2.167423901091749,2.167423770618795,2.167423640145841,2.1674235096728873,2.1674233791999327,2.1674232487269793,2.1674232579841988,2.167423284910441,2.1674233118366835,2.1674233387629256,2.167423365689168,2.16742339261541,2.167423419541652,2.167423446467894,2.1674234733941367,2.167423500320379,2.1674235272466205,2.167423554172862,2.1674235778202733,2.1674235962903388,2.1674236147604033,2.1674236332304684,2.167423651700533,2.1674236701705976,2.1674236886406635,2.1674237071107276,2.167423725580792,2.1674237440508572,2.167423762520922,2.1674237809909864,2.167423799461052,2.167423802445937,2.167423803472705,2.167423804499474,2.167423805526243,2.167423806553012,2.1674238075797803,2.1674238086065487,2.167423809633317,2.1674238106600865,2.1674238116868545,2.167423812713623,2.167423813740392,2.167423813728411,2.167423812076223,2.167423810424035,2.1674238087718467,2.167423807119659,2.1674238054674704,2.167423803815283,2.1674238021630945,2.1674238005109063,2.1674237988587177,2.16742379720653,2.1674237955543423,2.167423793902154,2.167423793336274,2.1674237929077576,2.167423792479243,2.1674237920507267,2.167423791622211,2.167423791193696,2.16742379076518,2.1674237903366644,2.1674237899081494,2.1674237894796335,2.1674237890511185,2.1674237886226027,2.1674237883945455,2.167423788483015,2.1674237885714858,2.167423788659956,2.167423788748426,2.1674237888368966,2.167423788925366,2.1674237890138364,2.1674237891023065,2.167423789190777,2.167423789279247,2.167423789367717,2.1674237894561874,2.1674237895120916,2.1674237895638773,2.1674237896156625,2.167423789667448,2.167423789719234,2.1674237897710196,2.1674237898228057,2.1674237898745914,2.167423789926377,2.167423789978163,2.1674237900299484,2.1674237900817346,2.1674237901140767,2.1674237901157163,2.167423790117355,2.167423790118995,2.167423790120634,2.1674237901222737,2.1674237901239137,2.1674237901255533,2.167423790127193,2.1674237901288316,2.1674237901304716,2.167423790132111,2.1674237901337503,2.1674237901334004,2.167423790132483,2.1674237901312305,2.167423790129643,2.167423790127722,2.1674237901254654,2.1674237901228737
0.02830188679245283,3.896362237415553E-18,2.1710331893462858,2.171054238760896,2.1710603708848977,2.17106088443286,2.171060951152197,2.1710602633549914,2.1710595755577855,2.17105888776058,2.171058199963374,2.171058001166898,2.171057870820898,2.1710577404748976,2.171057610128898,2.1710574797828976,2.1710573494368974,2.1710572190908977,2.1710570887448974,2.1710569583988972,2.17105696764714,2.1710569945472153,2.1710570214472913,2.171057048347368,2.171057075247444,2.17105710214752,2.1710571290475964,2.1710571559476723,2.1710571828477483,2.171057209747824,2.1710572366479,2.171057263547976,2.1710572871724048,2.171057305624514,2.1710573240766236,2.1710573425287327,2.1710573609808423,2.1710573794329515,2.171057397885061,2.1710574163371703,2.171057434789279,2.1710574532413887,2.1710574716934983,2.1710574901456074,2.171057508597717,2.1710575115796957,2.1710575126054614,2.171057513631227,2.171057514656993,2.171057515682757,2.1710575167085233,2.1710575177342886,2.1710575187600534,2.171057519785819,2.1710575208115848,2.1710575218373505,2.171057522863115,2.1710575228511355,2.1710575212005336,2.1710575195499313,2.171057517899329,2.1710575162487267,2.1710575145981243,2.171057512947522,2.1710575112969206,2.1710575096463183,2.171057507995716,2.171057506345114,2.1710575046945118,2.1710575030439094,2.171057502478551,2.1710575020504232,2.1710575016222946,2.1710575011941664,2.171057500766038,2.1710575003379105,2.1710574999097823,2.1710574994816545,2.1710574990535254,2.171057498625397,2.171057498197269,2.1710574977691417,2.1710574975412946,2.1710574976296986,2.1710574977181016,2.1710574978065047,2.171057497894908,2.1710574979833113,2.1710574980717148,2.171057498160118,2.1710574982485213,2.171057498336925,2.1710574984253284,2.1710574985137314,2.171057498602135,2.1710574986580182,2.1710574987097906,2.1710574987615616,2.171057498813334,2.1710574988651055,2.1710574989168774,2.1710574989686493,2.1710574990204208,2.1710574990721927,2.1710574991239646,2.171057499175737,2.1710574992275085,2.1710574992598377,2.1710574992614657,2.1710574992630947,2.1710574992647222,2.171057499266352,2.17105749926798,2.1710574992696086,2.171057499271237,2.171057499272866,2.171057499274494,2.1710574992761225,2.171057499277752,2.1710574992793794,2.171057499279031,2.1710574992781173,2.1710574992768708,2.171057499275292,2.17105749927338,2.1710574992711353,2.1710574992685587
