R,c (mol/m^3) @ t=0,c (mol/m^3) @ t=50000,c (mol/m^3) @ t=1E5,c (mol/m^3) @ t=1.5E5,c (mol/m^3) @ t=2E5,c (mol/m^3) @ t=2.5E5,c (mol/m^3) @ t=3E5,c (mol/m^3) @ t=3.5E5,c (mol/m^3) @ t=4E5,c (mol/m^3) @ t=4.5E5,c (mol/m^3) @ t=5E5,c (mol/m^3) @ t=5.5E5,c (mol/m^3) @ t=6E5,c (mol/m^3) @ t=6.5E5,c (mol/m^3) @ t=7E5,c (mol/m^3) @ t=7.5E5,c (mol/m^3) @ t=8E5,c (mol/m^3) @ t=8.5E5,c (mol/m^3) @ t=9E5,c (mol/m^3) @ t=9.5E5,c (mol/m^3) @ t=1E6
0,0,2.1909139542608705E-282,6.2615112183703496E-198,6.587409183808599E-192,1.840742375168613E-138,1.8751868803234727E-135,6.8726429453505E-133,7.217305530757566E-98,9.466595957989561E-97,5.036842529365857E-95,2.093210109628333E-93,4.4483463513464696E-92,2.573765399468768E-91,6.11966795118715E-90,1.0522121290079232E-77,4.087489040797191E-77,1.2988823947765618E-75,4.4631086396005675E-75,7.235496055865242E-74,2.4042414603682015E-73,2.69913320011395E-72
0.02631578947368421,0,2.5740014806272076E-268,2.9668741355425755E-188,2.6597955416028947E-182,7.201366478561701E-132,6.90553305036864E-129,2.3189796408360004E-126,2.059435001946674E-93,2.635776625021476E-92,1.3590769274914584E-90,5.3475034273448885E-89,1.0801823291628558E-87,6.208925279605491E-87,1.3980202965733667E-85,3.559740852808492E-74,1.3828391939925293E-73,4.141183201252764E-72,1.4198125451869938E-71,2.175034238927065E-70,7.19737056850807E-70,7.653497687023777E-69
0.05263157894736842,0,3.148177810436563E-253,1.227393058934909E-177,9.258388695178869E-172,2.0617183665253357E-124,1.8501838172403402E-121,5.652168229023705E-119,3.614030004628032E-88,4.505528831125315E-87,2.241869978314485E-85,8.303668710552607E-84,1.5861636655384288E-82,9.047855207673746E-82,1.9181823974199477E-80,6.682862943410705E-70,2.596066732952894E-69,7.273765504365802E-68,2.4872212294445527E-67,3.576317286540665E-66,1.1775932394664935E-65,1.178683334595097E-64
0.07894736842105263,0,4.435152759415399E-238,5.852580036381998E-167,3.675452082062492E-161,6.812036160619661E-117,5.694653938226219E-114,1.5745026468506714E-111,7.34990613119383E-83,8.919189792141296E-82,4.268338446106771E-80,1.4824996187543283E-78,2.6691390142209523E-77,1.5094866016990808E-76,3.001680856953827E-75,1.4552467166687775E-65,5.653142403847469E-65,1.4749501542287364E-63,5.028144103210965E-63,6.7576144968470595E-62,2.2125658059551728E-61,2.0766950493880686E-60
0.10526315789473684,0,6.602152468141151E-223,2.9493582054207916E-156,1.523720025018496E-150,2.380568220148602E-109,1.8440821418804152E-106,4.588039817895086E-104,1.5868249638502253E-77,1.873003549093071E-76,8.587044274967514E-75,2.7844704967882883E-73,4.707562455604931E-72,2.6364015744024815E-71,4.8961066771766144E-70,3.364777180135995E-61,1.3071023837866244E-60,3.158405323962094E-59,1.0728950357930313E-58,1.3412722168472518E-57,4.3629816926260186E-57,3.823567787308949E-56
0.13157894736842105,0,1.010428009985556E-207,1.5282949907642598E-145,6.407242938523478E-140,8.561057027779523E-102,6.107689717380133E-99,1.3584868508500308E-96,3.53949324949398E-72,4.060448499907948E-71,1.77526810655456E-69,5.347251800598348E-68,8.453139239005473E-67,4.6814347378756654E-66,8.07906782940849E-65,8.03850182822534E-57,3.1226866488352973E-56,6.943639194746703E-55,2.3488834185983148E-54,2.716367384533576E-53,8.768879456000882E-53,7.140236868767497E-52
0.15789473684210525,0,1.5699150191545818E-192,8.040768758729725E-135,2.6929246923405547E-129,3.1288440476636487E-94,2.0411217897400906E-91,4.028381672892055E-89,8.059204941371815E-67,8.978123129890424E-66,3.723144831771512E-64,1.035620294387811E-62,1.523386289364657E-61,8.328408584044441E-61,1.3279742022333044E-59,1.960423393103145E-52,7.615582603661213E-52,1.5466366713813123E-50,5.205868434513496E-50,5.533390529827435E-49,1.770244143948544E-48,1.3318215037215193E-47
0.18421052631578946,0,2.458483855960792E-177,4.264470286798355E-124,1.1202479810587E-118,1.1539853783715961E-86,6.825362143366523E-84,1.1849845709372928E-81,1.8612431304195407E-61,2.0117406269751096E-60,7.861681966352073E-59,2.0056189371833074E-57,2.7298308317933854E-56,1.4700562857868097E-55,2.151240267611183E-54,4.8494670371461675E-48,1.8838531433068945E-47,3.4628246751096543E-46,1.1585012713546703E-45,1.123264554406612E-44,3.554914143931206E-44,2.455081005220248E-43
0.21052631578947367,0,3.860924384954252E-162,2.2687171067214856E-113,4.575050281312908E-108,4.2753963329649703E-79,2.269297513560096E-76,3.4308246943030815E-74,4.343278946007694E-56,4.55043773610833E-55,1.6626225344481956E-53,3.8585721388429305E-52,4.8275762898708304E-51,2.553694043334431E-50,3.4025054681794557E-49,1.2121276904764375E-43,4.708688916086564E-43,7.747869701509767E-42,2.5725812882607017E-41,2.2549653783080708E-40,7.042990619564663E-40,4.4312635852842914E-39
0.23684210526315788,0,6.057825937118313E-147,1.2060919198041156E-102,1.8195789501291066E-97,1.5856678941794193E-71,7.458613498002042E-69,9.70149073237892E-67,1.0215738203262855E-50,1.0364217064187385E-49,3.506229600986004E-48,7.329877392573128E-47,8.364013479588767E-46,4.330386222323521E-45,5.203390336230451E-44,3.053842896952211E-39,1.186287344862438E-38,1.7233620579686483E-37,5.667332537889875E-37,4.442603100931619E-36,1.364949706538021E-35,7.75442123335741E-35
