R,c (mol/m^3)
0,7.000000000269459
7.82472613458529E-4,7.000012245537254
0.001564945226917058,7.000048981340678
0.002347417840375587,7.00011020767973
0.003129890453834116,7.000195924554419
0.003912363067292645,7.000306131964736
0.004694835680751174,7.000440829910601
0.005477308294209703,7.000600018392101
0.006259780907668232,7.000783697409349
0.007042253521126761,7.000991866962208
0.00782472613458529,7.00122452705072
0.008607198748043818,7.001481677674837
0.009389671361502346,7.001763318834527
0.010172143974960874,7.002069450529808
0.010954616588419402,7.0024000727607785
0.01173708920187793,7.0027551855274
0.012519561815336458,7.003134788829642
0.013302034428794986,7.003538882667457
0.014084507042253515,7.003967467040855
0.014866979655712043,7.004420541949937
0.01564945226917057,7.004898107394715
0.016431924882629095,7.005400163375188
0.01721439749608762,7.0059267098913365
0.017996870109546148,7.006477746943101
0.018779342723004674,7.0070532745304135
0.0195618153364632,7.0076532926533295
0.020344287949921727,7.0082778013119436
0.021126760563380254,7.008926800506217
0.02190923317683878,7.009600290236186
0.022691705790297306,7.010298270501834
0.023474178403755833,7.01102074130329
0.02425665101721436,7.011767702640413
0.025039123630672885,7.012539154513225
0.025821596244131412,7.013335096921718
0.026604068857589938,7.014155529865954
0.027386541471048464,7.015000453345869
0.02816901408450699,7.015869867361336
0.028951486697965517,7.016763771912376
0.029733959311424044,7.017682166998989
0.03051643192488257,7.018625052621225
0.031298904538341096,7.019592428779058
0.03208137715179962,7.020584295472529
0.03286384976525815,7.0216006527016335
0.033646322378716675,7.022641500466399
0.0344287949921752,7.0237068387667305
0.03521126760563373,7.024796667602644
0.035993740219092255,7.025910986974163
0.03677621283255078,7.027049796881267
0.03755868544600931,7.028213097323882
0.038341158059467834,7.029400888301973
0.03912363067292636,7.030613169815575
0.039906103286384886,7.0318499418647145
0.04068857589984341,7.033111204449442
0.04147104851330194,7.034396957569788
0.042253521126760465,7.035707201225774
0.04303599374021899,7.037041935417378
0.04381846635367752,7.038401160144733
0.044600938967136045,7.039784875407838
0.04538341158059457,7.041193081206722
0.0461658841940531,7.042625777541322
0.046948356807511624,7.044082964411582
0.04773082942097015,7.045564641817499
0.048513302034428676,7.047070809759024
0.0492957746478872,7.048601468236222
0.05007824726134573,7.050156617249122
0.050860719874804255,7.051736256797711
0.05164319248826278,7.0533403868819455
0.05242566510172131,7.05496900750182
0.053208137715179835,7.056622118657313
0.05399061032863836,7.058299720348403
0.05477308294209689,7.060001812575076
0.055555555555555414,7.061728395337324
0.05633802816901394,7.0634794686351725
0.057120500782472466,7.0652550324686425
0.05790297339593099,7.067055086837749
0.05868544600938952,7.068879631742495
0.059467918622848046,7.070728667182877
0.06025039123630657,7.072602193158828
0.0610328638497651,7.074500209670394
0.061815336463223625,7.07642271671757
0.06259780907668215,7.078369714300412
0.06338028169014068,7.0803412024189765
0.0641627543035992,7.08233718107317
0.06494522691705773,7.084357650262983
0.06572769953051626,7.086402609988358
0.06651017214397478,7.088472060249249
0.06729264475743331,7.090566001045763
0.06807511737089184,7.092684432377827
0.06885758998435036,7.094827354245434
0.06964006259780889,7.096994766648601
0.07042253521126741,7.099186669587371
0.07120500782472594,7.101403063061716
0.07198748043818447,7.103643947071617
0.072769953051643,7.105909321617054
0.07355242566510152,7.108199186698058
0.07433489827856005,7.110513542314607
0.07511737089201857,7.112852388466632
0.0758998435054771,7.115215725154146
0.07668231611893563,7.117603552377242
0.07746478873239415,7.12001587013599
0.07824726134585268,7.122452678430243
0.0790297339593112,7.124913977260016
0.07981220657276973,7.127399766625383
0.08059467918622826,7.129910046526331
0.08137715179968678,7.132444816962933
0.08215962441314531,7.1350040779352355
0.08294209702660384,7.137587829443259
0.08372456964006236,7.140196071486927
0.08450704225352089,7.142828804066256
0.08528951486697942,7.145486027181286
0.08607198748043794,7.148167740832024
0.08685446009389647,7.15087394501843
0.087636932707355,7.153604639740507
0.08841940532081352,7.156359824998231
0.08920187793427205,7.159139500791764
0.08998435054773057,7.161943667121049
0.0907668231611891,7.164772323986019
0.09154929577464763,7.1676254713867
0.09233176838810615,7.170503109323064
0.09311424100156468,7.173405237795135
0.0938967136150232,7.176331856802886
0.09467918622848173,7.179282966346349
0.09546165884194026,7.182258566425513
0.09624413145539878,7.1852586570404045
0.09702660406885731,7.1882832381910235
0.09780907668231584,7.1913323098773
0.09859154929577436,7.19440587209929
0.09937402190923289,7.197503924856879
0.10015649452269142,7.200626468150107
0.10093896713614994,7.20377350197888
0.10172143974960847,7.2069450263433
0.102503912363067,7.2101410412434594
0.10328638497652552,7.213361546679317
0.10406885758998405,7.216606542650845
0.10485133020344257,7.2198760291580415
0.1056338028169011,7.223170006200866
0.10641627543035963,7.2264884737792565
0.10719874804381815,7.229831431893169
0.10798122065727668,7.233198880542689
0.1087636932707352,7.236590819727869
0.10954616588419373,7.2400072494487
0.11032863849765226,7.243448169705225
0.11111111111111079,7.246913580497422
0.11189358372456931,7.2504034818252885
0.11267605633802784,7.25391787368882
0.11345852895148636,7.257456756087986
0.11424100156494489,7.261020129022734
0.11502347417840342,7.264607992492975
0.11580594679186194,7.268220346498721
0.11658841940532047,7.2718571910400716
0.117370892018779,7.275518526117035
0.11815336463223752,7.279204351729552
0.11893583724569605,7.282914667877644
0.11971830985915458,7.286649474561347
0.1205007824726131,7.290408771780569
0.12128325508607163,7.294192559535404
0.12206572769953015,7.298000837825937
0.12284820031298868,7.301833606652168
0.12363067292644721,7.305690866014008
0.12441314553990573,7.309572615911584
0.12519561815336427,7.313478856344828
0.12597809076682281,7.3174095873136515
0.12676056338028135,7.3213648088181085
